username,availability,type,location,work
wl,False,User,,
wm,False,User,"Luxembourg, Luxembourg",iorahealth.com
wn,False,User,,
wo,False,User,"Berlin, Germany",
wp,False,User,"Seattle, WA",Whitepages Inc.
wq,False,Organization,,
wr,False,User,,
ws,False,User,"Los Angeles, CA",Will Smidlein
wt,False,User,Silicon Valley,
wu,False,User,,
wv,False,User,Seattle,Amazon.com
ww,False,Organization,,
wx,False,User,,
wy,False,User,Deansgate,
wz,False,User,California,
xa,False,User,,
xb,False,User,,
xc,False,User,Oslo,
xd,False,User,,
xe,False,User,Montreal,
xf,False,User,,
xg,False,User,Shanghai,
xh,False,Organization,,
xi,False,User,,
xj,False,User,,
xk,False,User,España,
xl,False,Organization,,
xm,False,User,San Francisco / Bay Area,Clover
xn,False,User,"New Orleans, LA",Trosclairity
xo,False,Organization,,
xp,False,User,Bangalore,InMobi
xq,False,User,,
xr,False,User,,
xs,False,User,New York,
xt,False,Organization,,
xu,False,User,,
xv,False,User,"British Columbia, Canada",
xw,False,User,"San Francisco, CA",
xx,False,User,,
xy,False,User,,
xz,False,Organization,,
ya,False,User,,
yb,False,User,,
yc,False,User,"Melbourne, Australia",
yd,False,User,,
ye,False,User,"New York, NY, USA",
yf,False,User,,
yg,True,404,,
yh,False,User,,
yi,False,User,Singapore,
yj,False,User,Australia,
yk,False,User,,
yl,False,User,"Wuhan, China",
ym,False,User,AS15-PAPA-09,@misakaio
yn,False,User,,
yo,False,User,CN,
yp,False,User,"Bergamo, Italy",Università degli Studi di Milano-Bicocca
yq,False,User,,
yr,False,Organization,,
ys,False,User,France,Heroku
yt,False,User,Turkey,
yu,False,User,,
yv,False,User,,
yw,False,User,,
yx,False,User,,
yy,False,User,"Bloomington, IN",
yz,False,User,,
za,False,User,"Jakarta, Indonesia",
zb,False,User,,
zc,False,Organization,,
zd,False,User,,
ze,False,User,"New York, NY",
zf,False,User,,
zg,False,User,"Cupertino, CA",@apple
zh,False,User,JAPAN,
zi,False,User,,
zj,False,User,"College Park, MD",Joint Quantum Institute @JQIamo 
zk,False,User,"San Francisco, CA",On Vacation
zl,False,User,,
zm,False,User,"Tokyo, Japan","Tsubaiso, Inc."
zn,False,User,"Krasnoyarsk, Russia",
zo,False,User,Marseille,
zp,False,User,,
zq,False,User,"Shanghai, China",SJTU
zr,False,User,,
zs,False,Organization,,
zt,False,User,,
zu,False,User,Switzerland,
zv,False,User,"San Diego, CA",@polyswarm
zw,False,User,,
zx,False,User,,
zy,False,User,,
zz,False,User,Japan,
